type,id,brand,model,year,tire_type,inner_tube,price_range,width_specified,width_measured,width_specified_unit,weight_specified,weight_measured,tread,casing,perc_tread,rr_medium,rr_high,rr_extra_high,rr_ultra_high,wet_grip_average,wet_grip_center,wet_grip_edge,puncture_score_tread,puncture_score_sidewall,puncture_force_sharp_tread,puncture_force_sharp_sidewall,puncture_force_blunt_tread,puncture_force_blunt_sidewall,tire_thickness_tread,tire_thickness_sidewall,rating,replaced,rr_extra_low,rr_low,knob_height_center,knob_height_edge
road,continental-ultra-sport-iii-2020,Continental,Ultra Sport III 25,2020.0,TT,Butyl,Low,25.0,25.8,mm,270.0,267.0,27.0,64.0,42.0,19.4,16.6,14.7,14.1,71.0,70.0,72.0,53.0,13.0,10.4,4.6,10.6,5.2,3.0,0.7,3.1,False,,,,
road,schwalbe-ultremo-zx-evolution-2014,Schwalbe,Ultremo ZX 25,2014.0,TT,Butyl,Med,25.0,25.3,mm,215.0,229.0,,,,19.5,16.3,15.0,14.1,,,,,,12.2,,,,,,2.0,True,,,,
road,vittoria-corsa-control-g2,Vittoria,Corsa Control G+ 2.0 (open) 25,2019.0,TT,Butyl,High,25.0,27.1,mm,265.0,262.0,34.0,70.0,49.0,20.1,17.0,15.4,14.1,70.0,68.0,72.0,53.0,12.0,12.0,5.4,10.4,3.8,2.7,0.9,4.0,False,,,,
road,continental-competition-2016,Continental,Competition (tubular) 25,2016.0,TU,Tubular,High+,25.0,25.1,mm,280.0,285.0,,,,18.7,16.5,15.3,14.2,,,,50.0,10.0,11.4,4.0,,,2.5,0.55,3.0,False,,,,
road,continental-ultra-sport-ii-2015,Continental,Ultra Sport II 25,2015.0,TT,Butyl,Low,25.0,25.9,mm,260.0,267.0,,,,18.9,16.4,14.8,14.3,,,,51.0,12.0,10.8,4.4,,,3.0,0.7,3.0,True,,,,
road,hutchinson-fusion-5-all-season-2017,Hutchinson,Fusion 5 All Season TL 25,2017.0,TLR,None,High,25.0,25.0,mm,325.0,335.0,23.0,62.0,37.0,19.1,16.8,15.2,14.3,,,,50.0,26.0,10.0,7.8,,,3.3,1.3,4.0,True,,,,
road,michelin-pro-4-endurance-v2-2015,Michelin,Pro 4 Endurance v2 25,2015.0,TT,Butyl,High,25.0,27.6,mm,245.0,245.0,,,,20.1,17.2,15.4,14.5,,,,72.0,24.0,15.0,8.4,,,2.9,0.9,5.0,False,,,,
road,michelin-power-endurance-2016,Michelin,Power Endurance 25,2016.0,TT,Butyl,High,25.0,26.7,mm,230.0,235.0,,,,21.2,17.9,15.6,14.5,,,,63.0,15.0,13.4,5.6,,,2.8,0.6,3.0,False,,,,
road,continental-grand-prix-4-season,Continental,Grand Prix 4 Season 25,2022.0,TT,Butyl,High,25.0,26.9,mm,230.0,228.0,25.0,66.0,38.0,20.4,17.6,15.5,14.6,70.0,71.0,69.0,61.0,20.0,13.0,7.0,12.4,7.4,2.8,0.75,4.0,False,,,,
road,pirelli-p-zero-velo-4s-2017,Pirelli,P Zero Velo 4S 25,2017.0,TT,Butyl,High,25.0,27.3,mm,220.0,220.0,,,,20.2,17.6,15.9,14.7,,,,65.0,14.0,13.6,5.2,,,2.9,0.65,5.0,False,,,,
road,irc-formula-pro-tubeless-rbcc,IRC,Formula Pro Tubeless RBCC 25,2021.0,TLR,None,High,25.0,25.0,mm,299.0,299.0,44.0,61.0,72.0,20.1,17.5,15.7,14.8,64.0,64.0,64.0,48.0,21.0,10.2,6.6,9.0,6.2,3.0,1.35,2.8,False,,,,
road,vittoria-rubino-pro-g-2016,Vittoria,Rubino Pro G+ 1.0 25,2016.0,TT,Butyl,Med,25.0,25.6,mm,235.0,248.0,33.0,63.0,52.0,22.3,18.2,16.0,14.8,,,,57.0,15.0,12.0,5.8,,,3.0,0.55,3.0,True,,,,
road,mavic-yksion-elite-2018,Mavic,Yksion Elite 25,2018.0,TT,Butyl,High,25.0,26.1,mm,215.0,226.0,29.0,62.0,47.0,21.6,17.9,16.1,15.0,,,,44.0,12.0,9.2,4.6,,,3.0,0.65,2.0,False,,,,
road,tufo-comtura-duo,Tufo,Comtura Duo 28,2023.0,TT,Butyl,High,28.0,29.4,mm,250.0,249.0,35.0,76.0,46.0,21.9,18.4,16.3,15.1,79.0,82.0,77.0,86.0,19.0,21.8,6.6,16.2,8.0,2.5,0.6,4.5,False,,,,
road,vittoria-zaffiro-pro-g2-2020,Vittoria,Zaffiro Pro G+ 2.0 25,2020.0,TT,Butyl,Low,25.0,26.0,mm,280.0,282.0,32.0,66.0,48.0,21.6,18.2,16.3,15.2,66.0,64.0,67.0,56.0,9.0,9.8,3.0,11.2,3.2,3.3,0.85,2.0,False,,,,
road,vittoria-rubino-pro-g2,Vittoria,Rubino Pro G+ 2.0 25,2019.0,TT,Butyl,Med,25.0,25.8,mm,250.0,245.0,34.0,64.0,53.0,23.6,19.0,16.4,15.2,70.0,67.0,73.0,51.0,15.0,11.0,5.4,10.0,5.8,2.9,0.65,3.0,False,,,,
road,zipp-tangente-course-2017,Zipp,Tangente Course 25,2017.0,TT,Butyl,High,25.0,25.0,mm,0.0,215.0,,,,22.7,18.9,16.7,15.3,,,,55.0,14.0,12.0,5.4,,,2.7,0.65,3.0,False,,,,
road,michelin-krylion-2-2017,Michelin,Krylion 2 Endurance 25,2017.0,TT,Butyl,Med,25.0,27.3,mm,245.0,261.0,26.0,70.0,37.0,21.0,17.9,16.3,15.4,,,,71.0,20.0,14.8,7.0,,,3.0,0.85,4.0,False,,,,
road,michelin-pro-4-service-course-2014,Michelin,Pro 4 Service Course 25,2014.0,TT,Butyl,Med,25.0,27.9,mm,215.0,222.0,,,,21.2,18.4,16.6,15.4,,,,72.0,17.0,15.0,6.6,,,2.9,0.55,4.0,False,,,,
road,schwalbe-one-performance-2020,Schwalbe,One Performance Addix 25,2020.0,TT,Butyl,Med,25.0,26.4,mm,245.0,248.0,30.0,65.0,46.0,22.8,18.7,16.6,15.4,71.0,70.0,73.0,48.0,13.0,11.2,4.8,8.6,5.2,2.8,0.6,3.1,False,,,,
road,vittoria-corsa-control-2018,Vittoria,Corsa Control G+ 1.0 (open) 25,2018.0,TT,Butyl,High,25.0,27.0,mm,265.0,260.0,34.0,71.0,48.0,21.1,18.1,16.7,15.6,,,,57.0,15.0,12.6,5.2,,,2.6,0.85,4.0,True,,,,
road,vittoria-zaffiro-slick-2015,Vittoria,Zaffiro Slick 25,2015.0,TT,Butyl,Low,25.0,26.1,mm,370.0,398.0,,,,24.4,20.1,17.1,15.7,,,,58.0,14.0,10.8,4.8,,,3.6,0.85,2.0,True,,,,
road,schwalbe-one-tle-performance-2020,Schwalbe,One TLE Performance Addix 25,2020.0,TLR,None,Med,25.0,26.4,mm,275.0,306.0,29.0,68.0,43.0,21.2,18.4,16.8,15.8,72.0,72.0,73.0,49.0,15.0,10.2,5.2,9.4,4.8,3.0,1.0,3.2,False,,,,
road,michelin-lithion-2-2015,Michelin,Lithion 2 25,2015.0,TT,Butyl,Med,25.0,27.1,mm,250.0,268.0,,,,22.0,18.7,16.7,15.9,,,,61.0,12.0,12.8,4.8,,,3.0,0.55,3.0,False,,,,
road,pirelli-cinturato-velo-2018,Pirelli,Cinturato Velo TLR 26,2018.0,TLR,None,High,26.0,27.8,mm,290.0,306.0,28.0,66.0,42.0,23.5,19.9,17.5,16.0,69.0,67.0,72.0,103.0,23.0,20.0,7.2,16.2,8.2,3.7,0.95,5.0,False,,,,
road,schwalbe-pro-one-ht-tubular-2017,Schwalbe,Pro One HT (tubular) 25,2017.0,TU,Tubular,High+,25.0,25.1,mm,290.0,303.0,,,,21.6,19.1,17.4,16.1,,,,45.0,7.0,10.0,3.0,,,2.6,0.45,2.0,False,,,,
road,panaracer-race-a-evo-3-2018,Panaracer,Race A Evo 3 25,2018.0,TT,Butyl,High,25.0,26.6,mm,240.0,247.0,30.0,67.0,45.0,22.1,19.0,17.1,16.4,,,,75.0,26.0,16.4,9.2,,,2.7,0.8,4.0,False,,,,
road,schwalbe-durano-plus-2020,Schwalbe,Durano Plus Addix 25,2020.0,TT,Butyl,Med,25.0,26.2,mm,385.0,399.0,27.0,63.0,43.0,22.3,19.0,17.1,16.4,69.0,72.0,66.0,69.0,22.0,12.0,6.0,8.8,6.8,4.6,1.45,3.0,False,,,,
road,vittoria-rubino-pro-control-2016,Vittoria,Rubino Pro Control 25,2016.0,TT,Butyl,Med,25.0,25.7,mm,320.0,297.0,49.0,65.0,75.0,25.0,20.6,17.7,16.9,,,,60.0,19.0,12.0,6.2,,,3.3,1.05,3.0,True,,,,
road,clement-strada-lgg-2017,Clement,Strada LGG 25,2017.0,TT,Butyl,High,25.0,26.3,mm,0.0,225.0,24.0,62.0,39.0,23.2,20.0,17.9,16.9,,,,74.0,9.0,14.6,3.6,,,3.3,0.5,2.0,False,,,,
road,continental-grand-prix-4-season-2015,Continental,Grand Prix 4 Season 2015 25,2015.0,TT,Butyl,High,25.0,26.8,mm,240.0,215.0,,,,22.5,19.8,18.1,17.2,,,,80.0,21.0,17.4,7.6,,,2.7,0.7,4.0,True,,,,
road,michelin-dynamic-sport-2015,Michelin,Dynamic Sport 25,2015.0,TT,Butyl,Low,25.0,25.0,mm,305.0,304.0,,,,23.2,19.5,18.1,17.3,,,,42.0,12.0,8.4,4.4,,,3.2,0.7,2.0,False,,,,
road,panaracer-race-d-evo-3-2018,Panaracer,Race D Evo 3 25,2018.0,TT,Butyl,High,25.0,26.8,mm,250.0,249.0,29.0,65.0,45.0,23.9,20.7,18.6,17.4,,,,78.0,25.0,16.0,8.8,,,3.1,0.8,3.0,False,,,,
road,schwalbe-durano-2015,Schwalbe,Durano 25,2015.0,TT,Butyl,Med,25.0,26.0,mm,245.0,251.0,,,,24.7,21.0,18.8,18.0,,,,80.0,10.0,15.0,4.0,,,3.6,0.6,3.0,False,,,,
road,schwalbe-lugano-2-2020,Schwalbe,Lugano II 25,2020.0,TT,Butyl,Low,25.0,25.9,mm,280.0,265.0,30.0,64.0,47.0,24.2,21.1,19.2,18.0,69.0,66.0,72.0,52.0,16.0,11.0,5.2,8.4,3.6,3.4,0.8,2.0,False,,,,
road,vredestein-fortezza-senso-all-weather-2015,Vredestein,Fortezza Senso All Weather 25,2015.0,TT,Butyl,Med,25.0,26.2,mm,240.0,234.0,,,,24.6,21.8,19.7,18.0,,,,65.0,12.0,13.2,4.6,,,3.2,0.55,2.0,False,,,,
road,continental-gatorskin-2015,Continental,Gatorskin 25,2015.0,TT,Butyl,High,25.0,26.0,mm,240.0,255.0,,,,26.2,22.0,20.2,19.3,,,,89.0,19.0,18.0,7.2,,,3.2,0.7,3.0,False,,,,
road,continental-gator-hardshell,Continental,Gator Hardshell 25,2019.0,TT,Butyl,High,25.0,25.7,mm,270.0,273.0,26.0,65.0,40.0,27.4,23.1,20.5,19.5,66.0,63.0,68.0,100.0,26.0,20.0,8.0,15.0,9.0,3.7,1.0,4.0,False,,,,
road,schwalbe-durano-dd-2020,Schwalbe,Durano DD Addix 25,2020.0,TT,Butyl,Med,25.0,25.8,mm,295.0,302.0,27.0,63.0,43.0,27.3,23.5,21.0,19.5,70.0,68.0,72.0,59.0,18.0,12.0,6.2,9.0,5.8,3.6,1.0,2.0,False,,,,
road,schwalbe-durano-plus-2017,Schwalbe,Durano Plus 25,2017.0,TT,Butyl,Med,25.0,26.8,mm,380.0,400.0,27.0,62.0,44.0,26.4,22.9,20.7,19.7,,,,95.0,27.0,15.0,7.6,,,4.8,1.5,3.0,True,,,,
road,michelin-power-all-season-2016,Michelin,Power All Season 25,2016.0,TT,Butyl,High,25.0,25.6,mm,270.0,275.0,28.0,63.0,44.0,27.8,24.5,22.7,21.3,,,,70.0,17.0,14.0,6.0,,,3.3,0.85,2.0,False,,,,
road,schwalbe-lugano-2015,Schwalbe,Lugano 25,2015.0,TT,Butyl,Low,25.0,25.1,mm,280.0,275.0,,,,28.4,24.4,22.6,21.9,,,,74.0,12.0,14.8,4.4,,,3.5,0.65,1.0,True,,,,
road,maxxis-re-fuse-2019,Maxxis,Re-Fuse 25,2019.0,TT,Butyl,Med,25.0,25.3,mm,300.0,296.0,28.0,64.0,44.0,31.4,27.4,24.6,22.6,66.0,65.0,67.0,84.0,22.0,17.0,7.6,13.0,6.4,3.6,1.15,2.0,False,,,,
mtb,schwalbe-big-one-2016,Schwalbe,Big One LiteSkin PaceStar,2016.0,TLR,None,High,2.35,57.0,inch,440.0,458.0,,,,9.7,9.3,,,,,,20.0,10.0,6.6,4.2,,,1.1,0.5,5.0,True,11.3,10.1,0.5,0.5
mtb,schwalbe-thunder-burt-super-ground,Schwalbe,Thunder Burt Super Ground Addix Speed,2021.0,TLR,None,High,2.25,53.3,inch,615.0,680.0,,,,13.5,13.1,,,56.0,60.0,52.0,26.0,17.0,7.4,5.2,7.2,6.0,1.6,0.95,4.5,False,15.7,13.9,1.5,3.9
mtb,continental-race-king-protection-2020,Continental,Race King Protection,2020.0,TLR,None,High,2.2,52.9,inch,605.0,588.0,,,,14.0,13.9,,,59.0,55.0,62.0,29.0,26.0,7.0,7.6,8.2,9.4,1.8,1.0,5.0,True,15.7,14.5,2.5,3.0
mtb,schwalbe-thunder-burt-snakeskin-2015,Schwalbe,Thunder Burt TL-E PaceStar,2015.0,TLR,None,High,2.25,54.0,inch,575.0,573.0,,,,16.5,16.0,,,,,,29.0,19.0,8.6,6.6,,,1.4,0.85,5.0,True,17.8,16.5,1.4,3.8
mtb,schwalbe-rocket-ron-liteskin-addix-speed-2017,Schwalbe,Rocket Ron LiteSkin Addix Speed,2017.0,TLR,None,High,2.25,54.0,inch,520.0,556.0,,,,17.6,17.6,,,,,,22.0,12.0,6.0,5.0,,,1.6,0.5,5.0,False,18.1,17.8,2.4,4.2
mtb,continental-race-king-protection-e25,Continental,Race King Protection (E-25),2024.0,TLR,None,High,2.2,53.8,inch,605.0,586.0,,,,15.7,15.2,,,57.0,54.0,60.0,30.0,24.0,7.6,7.6,8.8,8.4,1.7,0.95,4.8,False,18.2,16.5,2.7,3.1
mtb,schwalbe-rocket-ron-liteskin-2015,Schwalbe,Rocket Ron LiteSkin PaceStar,2015.0,TLR,None,High,2.25,54.0,inch,520.0,540.0,,,,17.4,17.2,,,,,,31.0,14.0,8.4,5.6,,,1.7,0.45,5.0,True,18.2,17.5,2.5,4.4
mtb,continental-race-king-protection-2015,Continental,Race King Protection 2015,2015.0,TLR,None,High,2.2,55.0,inch,645.0,629.0,,,,16.9,16.6,,,,,,45.0,20.0,12.0,7.2,,,1.8,0.8,5.0,True,18.8,17.6,2.5,2.5
mtb,schwalbe-thunder-burt-super-race,Schwalbe,Thunder Burt Super Race Addix Speed,2024.0,TLR,None,High,2.1,50.2,inch,545.0,611.0,,,,15.2,14.2,,,61.0,68.0,55.0,27.0,20.0,6.8,5.8,7.8,7.2,1.7,1.0,4.3,False,19.0,16.3,1.4,3.6
mtb,schwalbe-racing-ralph-super-ground,Schwalbe,Racing Ralph Super Ground Addix Speed,2023.0,TLR,None,High,2.35,54.3,inch,730.0,758.0,,,,15.7,15.3,,,58.0,60.0,56.0,29.0,19.0,6.8,6.8,8.0,6.0,1.9,1.0,4.5,False,19.0,16.5,2.7,4.1
mtb,continental-speed-king-ii-racesport-2015,Continental,Speed King II RaceSport,2015.0,TT,Butyl,High,2.2,54.4,inch,465.0,467.0,,,,15.1,14.5,,,,,,29.0,11.0,7.8,4.4,,,1.7,0.45,5.0,False,19.1,16.6,0.5,1.5
mtb,schwalbe-racing-ralph-evolution-tlr-2014,Schwalbe,Racing Ralph TL-R PaceStar,2014.0,TLR,None,High,2.25,54.8,inch,535.0,534.0,,,,16.9,16.6,,,,,,,,7.0,5.0,,,,,5.0,True,19.4,17.7,2.5,4.3
mtb,schwalbe-racing-ralph-snakeskin-2015,Schwalbe,Racing Ralph TL-E PaceStar,2015.0,TLR,None,High,2.25,54.1,inch,605.0,602.0,,,,16.5,16.1,,,,,,,,7.4,6.0,,,,,5.0,True,19.5,17.3,2.5,4.0
mtb,vittoria-mezcal-tnt-2017,Vittoria,Mezcal TNT G+ 1.0,2017.0,TLR,None,High,2.25,54.2,inch,690.0,712.0,,,,17.3,16.9,,,,,,37.0,15.0,9.4,5.6,,,1.9,0.75,5.0,True,20.1,18.1,2.6,3.8
mtb,schwalbe-racing-ray-super-ground,Schwalbe,Racing Ray Super Ground Addix SpeedGrip,2024.0,TLR,None,High,2.25,54.5,inch,655.0,685.0,,,,17.4,17.3,,,68.0,73.0,64.0,27.0,21.0,7.0,6.6,7.4,6.8,1.7,1.1,4.8,False,20.4,18.2,2.5,4.4
mtb,schwalbe-nobby-nic-snakeskin-2015,Schwalbe,Nobby Nic TL-E PaceStar,2015.0,TLR,None,High,2.25,53.9,inch,710.0,731.0,,,,18.2,17.8,,,,,,28.0,21.0,7.4,7.2,,,1.8,0.85,5.0,True,20.5,18.9,3.6,4.7
mtb,schwalbe-racing-ralph-liteskin-addix-speed-2017,Schwalbe,Racing Ralph LiteSkin Addix Speed,2017.0,TLR,None,High,2.25,54.0,inch,560.0,587.0,,,,18.9,18.7,,,,,,21.0,12.0,6.0,5.0,,,1.5,0.5,4.0,False,20.5,19.5,2.5,4.2
mtb,schwalbe-racing-ralph-super-race,Schwalbe,Racing Ralph Super Race Addix Speed,2021.0,TLR,None,High,2.25,51.6,inch,640.0,659.0,,,,19.6,19.2,,,61.0,63.0,59.0,28.0,20.0,6.6,6.8,6.8,6.8,2.2,0.95,4.0,False,21.5,20.1,2.4,3.9
mtb,schwalbe-racing-ralph-tle-addix-speed-2017,Schwalbe,Racing Ralph TL-E Addix Speed,2017.0,TLR,None,High,2.25,54.0,inch,630.0,711.0,,,,19.9,19.6,,,,,,23.0,15.0,6.0,5.0,,,1.8,1.05,4.0,True,22.0,20.5,2.5,4.3
mtb,schwalbe-rocket-ron-tle-addix-speed-2017,Schwalbe,Rocket Ron TL-E Addix Speed,2017.0,TLR,None,High,2.25,53.7,inch,610.0,674.0,,,,20.5,20.5,,,,,,22.0,19.0,6.4,6.0,,,1.4,1.1,4.0,False,22.2,20.8,2.5,4.5
mtb,continental-race-king-racesport-2014,Continental,Race King RaceSport,2014.0,TT,Butyl,High,2.2,55.2,inch,540.0,497.0,,,,18.7,18.0,,,,,,29.0,12.0,7.8,4.8,,,1.7,0.45,5.0,False,22.4,20.0,2.5,2.5
mtb,schwalbe-racing-ralph-tle-addix-speed-2019,Schwalbe,Racing Ralph 2019 TLE Addix Speed,2019.0,TLR,None,High,2.25,53.2,inch,625.0,609.0,,,,19.9,19.2,,,,,,20.0,16.0,5.6,5.0,5.8,5.6,1.5,0.95,4.0,False,22.5,20.2,2.3,4.0
mtb,schwalbe-hans-dampf-pacestar-2017,Schwalbe,Hans Dampf PaceStar,2017.0,TLR,None,High,2.35,56.0,inch,850.0,815.0,,,,19.6,19.4,,,,,,29.0,17.0,7.6,6.0,,,1.9,0.8,5.0,True,22.6,20.2,3.8,5.8
mtb,schwalbe-rocket-ron-tle-addix-speedgrip-2017,Schwalbe,Rocket Ron TL-E Addix SpeedGrip,2017.0,TLR,None,High,2.25,53.3,inch,610.0,606.0,,,,20.6,20.1,,,,,,20.0,18.0,6.0,6.0,,,1.3,1.0,4.0,False,22.7,21.2,2.4,4.3
mtb,tufo-xc11-tr-2024,Tufo,XC11 TR (new 2024),2024.0,TLR,None,High,2.25,58.0,inch,650.0,673.0,,,,20.0,19.4,,,65.0,68.0,63.0,40.0,32.0,10.0,10.4,9.4,12.8,2.1,0.8,4.4,False,23.4,21.2,2.4,3.5
mtb,vittoria-mezcal-tnt-g2-2019,Vittoria,Mezcal TNT G+ 2.0,2019.0,TLR,None,High,2.25,54.8,inch,725.0,718.0,,,,19.4,18.7,,,66.0,65.0,68.0,39.0,19.0,9.6,6.8,9.4,6.0,2.1,0.9,4.3,False,23.5,20.6,2.5,4.0
mtb,specialized-fast-trak-2016,Specialized,S-Works Fast Trak 2BR,2016.0,TLR,None,High,2.2,53.0,inch,570.0,588.0,,,,20.6,20.4,,,,,,25.0,14.0,6.8,5.4,,,1.7,0.5,3.0,True,23.5,21.4,2.5,3.1
mtb,schwalbe-racing-ray-tle-addix-speedgrip,Schwalbe,Racing Ray TLE Addix SpeedGrip,2019.0,TLR,None,High,2.25,53.0,inch,625.0,615.0,,,,20.2,19.6,,,,,,22.0,17.0,6.0,5.6,6.0,5.8,1.6,1.0,4.0,True,23.8,21.5,2.6,4.3
mtb,schwalbe-wicked-will-super-race,Schwalbe,Wicked Will Super Race Addix SpeedGrip,2024.0,TLR,None,High,2.4,55.8,inch,820.0,827.0,,,,20.9,20.3,,,71.0,72.0,69.0,32.0,19.0,7.4,6.8,7.6,5.8,2.2,0.95,4.8,False,24.2,22.1,2.8,4.9
mtb,schwalbe-racing-ralph-tle-addix-speedgrip-2017,Schwalbe,Racing Ralph TL-E Addix SpeedGrip,2017.0,TLR,None,High,2.25,53.2,inch,630.0,609.0,,,,21.7,21.5,,,,,,22.0,15.0,6.0,5.0,,,1.7,0.9,4.0,False,24.2,22.3,2.5,4.3
mtb,vittoria-mezcal-xc-race-tlr,Vittoria,Mezcal XC Race TLR G+ 2.0,2023.0,TLR,None,High,2.25,56.4,inch,690.0,689.0,,,,20.0,19.1,,,67.0,65.0,68.0,40.0,12.0,9.6,4.4,7.4,4.8,2.7,0.65,4.0,False,24.4,21.8,2.5,4.0
mtb,continental-cross-king-protection-2020,Continental,Cross King Protection 29x2.2,2020.0,TLR,None,High,2.2,52.3,inch,640.0,615.0,,,,21.1,20.4,,,66.0,63.0,69.0,32.0,25.0,7.6,7.6,8.8,9.0,1.9,1.0,3.3,False,24.5,22.0,2.5,3.7
mtb,kenda-rush-pro,Kenda,Rush Pro SCT TLR,2024.0,TLR,None,High,2.4,57.4,inch,696.0,687.0,,,,19.7,19.1,,,62.0,62.0,63.0,30.0,13.0,8.0,5.2,7.6,3.6,1.8,0.95,3.7,False,24.7,21.2,1.8,2.4
mtb,continental-race-king-performance-shieldwall,Continental,Race King Performance ShieldWall,2023.0,TLR,None,Med,2.2,54.5,inch,750.0,720.0,,,,21.7,21.5,,,68.0,67.0,70.0,32.0,20.0,8.4,7.0,6.6,5.6,2.2,1.1,4.0,False,24.9,22.5,2.3,3.2
mtb,vittoria-barzo-tnt-g2-2019,Vittoria,Barzo TNT G+ 2.0,2019.0,TLR,None,High,2.25,54.1,inch,680.0,717.0,,,,21.7,21.1,,,61.0,59.0,64.0,37.0,19.0,9.0,6.6,8.4,6.8,2.3,0.9,4.0,False,25.5,23.0,2.9,4.0
mtb,continental-x-king-racesport-2015,Continental,X-King RaceSport,2015.0,TT,Butyl,High,2.2,53.0,inch,555.0,564.0,,,,20.9,20.1,,,,,,40.0,17.0,10.4,6.6,,,1.8,0.55,4.0,True,25.9,22.8,2.5,4.0
mtb,specialized-s-works-renegade-t5-t7,Specialized,S-Works Renegade 2BR T5/T7,2024.0,TLR,None,High,2.35,56.8,inch,590.0,610.0,,,,21.9,21.3,,,71.0,74.0,68.0,26.0,11.0,7.0,4.0,6.0,4.4,2.0,0.6,3.3,False,25.9,23.1,2.0,2.9
mtb,specialized-s-works-fast-trak-t5-t7,Specialized,S-Works Fast Trak 2BR T5/T7,2022.0,TLR,None,High,2.35,56.8,inch,615.0,628.0,,,,23.5,23.2,,,64.0,66.0,62.0,24.0,10.0,6.0,3.6,6.4,3.8,1.8,0.55,3.0,False,26.0,24.1,2.5,3.3
mtb,maxxis-aspen-exo-tr,Maxxis,Aspen EXO TR,2019.0,TLR,None,High,2.25,54.8,inch,645.0,659.0,,,,21.5,20.2,,,53.0,52.0,53.0,29.0,15.0,6.4,5.2,8.2,5.4,2.0,0.85,3.0,False,26.1,22.7,2.1,3.3
mtb,irc-mythos-xc-2017,IRC,Mythos XC,2017.0,TLR,None,High,2.25,52.0,inch,710.0,701.0,,,,21.6,20.7,,,,,,25.0,15.0,6.2,5.6,,,2.2,0.65,3.0,False,26.3,23.1,2.2,4.0
mtb,continental-race-king-performance-2015,Continental,Race King Performance,2015.0,TT,Butyl,Med,2.2,54.0,inch,660.0,669.0,,,,22.8,22.3,,,,,,50.0,7.0,11.6,3.0,,,2.5,0.45,4.0,False,26.3,24.2,2.5,2.5
mtb,maxxis-rekon-race-exo-tr,Maxxis,Rekon Race EXO TR,2019.0,TLR,None,High,2.25,55.0,inch,670.0,680.0,,,,20.9,19.6,,,60.0,64.0,55.0,25.0,18.0,6.4,6.6,7.8,5.8,1.5,0.85,3.0,False,26.6,23.0,1.9,3.5
mtb,maxxis-rekon-race-maxxspeed-exo-tr,Maxxis,Rekon Race MaxxSpeed EXO/TR,2024.0,TLR,None,High,2.4,58.0,inch,825.0,814.0,,,,22.4,21.8,,,69.0,74.0,64.0,34.0,17.0,8.2,6.6,8.2,5.2,2.1,0.9,4.0,False,26.8,23.6,2.2,3.8
mtb,specialized-ground-control-2016,Specialized,S-Works Ground Control 2BR,2016.0,TLR,None,High,2.3,53.0,inch,650.0,686.0,,,,22.7,22.2,,,,,,26.0,15.0,6.8,5.8,,,1.8,0.5,3.0,False,26.8,23.7,3.2,4.5
mtb,maxxis-ikon-3c-maxxspeed-tlr-2014,Maxxis,Ikon 3C MaxxSpeed TLR,2014.0,TLR,None,High,2.2,52.9,inch,590.0,581.0,,,,22.6,21.7,,,,,,22.0,,6.0,,,,1.7,0.45,2.0,False,27.0,24.1,2.3,3.8
mtb,continental-race-king-sport-2015,Continental,Race King Sport,2015.0,TT,Butyl,Low,2.2,54.3,inch,750.0,712.0,,,,23.0,22.4,,,,,,27.0,12.0,6.8,4.6,,,2.2,0.7,4.0,False,27.0,24.5,2.5,2.5
mtb,schwalbe-racing-ralph-performance-2012,Schwalbe,Racing Ralph Performance,2012.0,TT,Butyl,Med,2.25,53.8,inch,548.0,548.0,,,,20.9,19.3,,,,,,,,10.8,,,,,,4.0,True,27.9,23.7,1.3,4.2
mtb,continental-cross-king-protection-29x23,Continental,Cross King Protection 29x2.3,2021.0,TLR,None,High,2.3,55.2,inch,755.0,745.0,,,,25.2,24.4,,,64.0,62.0,66.0,37.0,25.0,8.4,8.4,9.6,8.0,2.2,1.0,3.2,False,28.4,26.3,3.2,5.1
mtb,maxxis-aspen-maxxspeed-exo-tr,Maxxis,Aspen MaxxSpeed EXO/TR,2023.0,TLR,None,High,2.4,59.2,inch,770.0,778.0,,,,22.7,21.2,,,58.0,56.0,59.0,38.0,17.0,9.2,5.4,8.4,5.8,2.3,0.95,3.5,False,28.5,24.4,2.2,3.5
mtb,michelin-jet-xcr-2020,Michelin,Jet XCR,2020.0,TLR,None,High,2.25,56.2,inch,600.0,627.0,,,,23.8,22.6,,,59.0,60.0,55.0,32.0,24.0,8.0,7.8,9.0,8.4,1.8,0.95,2.0,False,28.7,26.1,1.8,4.0
mtb,pirelli-scorpion-xc-rc-lite,Pirelli,Scorpion XC RC Lite Team Edition,2023.0,TLR,None,High,2.4,57.0,inch,650.0,625.0,,,,23.5,22.9,,,68.0,72.0,64.0,30.0,11.0,7.6,3.6,7.4,4.8,2.0,0.55,3.5,False,28.8,25.4,2.0,4.0
mtb,maxxis-ardent-race-exo-2016,Maxxis,Ardent Race 3C EXO TR,2016.0,TLR,None,High,2.2,52.2,inch,720.0,759.0,,,,24.4,23.4,,,,,,27.0,15.0,7.6,5.6,,,1.5,0.7,3.0,False,30.6,26.4,2.9,4.2
mtb,michelin-force-xc-2017,Michelin,Force XC,2017.0,TLR,None,High,2.25,55.0,inch,670.0,660.0,,,,27.8,27.1,,,,,,43.0,18.0,10.6,6.2,,,2.2,0.9,3.0,False,30.8,28.7,2.3,5.0
